City,Pop_1910,Pop_1920,Pop_1930,Pop_1940,Pop_1950,Pop_1960,Pop_1970,Pop_1980,Pop_1990,Pop_2000,Pop_2010,Latitude,Longitude
"Bolingbrook, IL",0,0,0,0,0,0,7651,37261,40843,56321,73366,41.6986,-88.0886
"Aurora, IL",29800,36300,46589,47200,50600,63715,74200,81293,99581,142990,197899,41.7606,-88.3201
"Joliet, IL",34670,38442,42993,42365,51601,66780,78827,77956,76836,106221,147459,41.525,-88.0817
"Naperville, IL",3449,3830,5118,5272,7013,12933,22794,42330,85351,128358,141853,41.7508,-88.1535
"Elgin, IL",25976,27454,35929,38333,44223,49447,55691,63798,77010,94487,108188,42.0354,-88.2826
"Waukegan, IL",16069,19226,33499,34241,46698,61784,65134,67653,69392,89426,89078,42.3636,-87.8448
"Gary, IN",16802,55378,100666,111719,133911,178320,175415,151968,116646,102746,80294,41.602,-87.3372
"Arlington Heights, IL",1943,2250,4997,5668,8768,27878,65058,66116,75460,76031,75101,42.0884,-87.9806
"Evanston, IL",24978,37234,63338,65389,73641,79263,79808,73706,73233,74239,74486,42.0451,-87.6877
"Schaumburg, IL",0,0,0,0,0,986,18724,53305,68586,75386,74227,42.0334,-88.0834
"Des Plaines, IL",2348,3451,8798,9518,14994,34886,57239,53568,53223,58720,58364,42.0334,-87.8834
"Tinley Park, IL",309,493,823,1136,2326,6392,12572,26178,37121,48401,56703,41.5731,-87.7933
"Oak Lawn, IL",287,489,2045,3483,8751,27471,60305,60590,56182,55245,56690,41.72,-87.748
"Oak Park, IL",19444,39858,63982,66015,63529,61093,62511,54887,53648,52524,51878,41.885,-87.7845
"Elmhurst, IL",2360,4594,14055,15458,21273,36991,46392,44276,42029,42762,44121,41.8995,-87.9403
"Crystal Lake, IL",1242,2249,3732,3917,4832,8314,14541,18590,24512,38000,40743,42.2411,-88.3162
